Name,Type,Category,Reward,Unit,Desc,Tag,Annual_Fee,Lounge_Access,Monthly_Cap,Best_For
DBS Woman's World Card,miles,online,4.0,mpd,Best for all online spend. Capped at S$2000/month.,Top Pick,S$196.20 (Waivable),None,S$2000/mo,Online everything
Citi Rewards,miles,online,4.0,mpd,Online shopping & retail. Use with Amaze. Capped at S$1000/mo.,Very Flexible,S$196.20 (Waivable),None,S$1000/mo,Shopping & Amaze hack
HSBC Revolution,miles,online,4.0,mpd,Contactless re-added to bonus list! S$1000/mo cap.,Zero Fee,Permanent Waiver,None,S$1000/mo,Dining & Groceries
DBS yuu Card,miles,dining,10.0,mpd,10 mpd at yuu merchants (Foodpanda/BreadTalk). Min spend S$600.,Highest Yield,S$196.20 (Waivable),None,S$150/mo rebate,yuu Merchants
UOB Lady's Card,miles,dining,6.0,mpd,Choose 'Dining' as category. Capped at S$1000/month.,Highest Yield,S$196.20 (Waivable),None,S$1000/mo,Customizable categories
UOB Preferred Platinum Visa,miles,dining,4.0,mpd,Contactless (Apple/Google Pay) capped at S$1110/month.,Daily Driver,S$196.20 (Waivable),None,S$1110/mo,Daily Apple/Google Pay
DBS Altitude,miles,travel,1.2,mpd,Promo: 38k miles sign-up (New-to-bank) till Mar 2026.,Promo Active,S$196.20 (Waivable),2x Priority Pass,No cap,Evergreen miles
DBS yuu Card,cashback,dining,18.0,%,Highest rebate for BreadTalk/Foodpanda/Toast Box. Min spend S$600.,Market Best,S$196.20 (Waivable),None,S$150/mo rebate,yuu Merchants
UOB One Card,cashback,dining,10.0,%,Tiered cashback. Maximize at S$2000 spend/month.,Consistent,S$196.20 (Waivable),None,S$2000 spend tier,Stable monthly spend
Trust Cashback Card,cashback,dining,15.0,%,Quarterly bonus. High effective rate for dining.,Market Best,Permanent Waiver,None,S$250/quarter bonus,Dining & NTUC
DBS yuu Card,cashback,grocery,18.0,%,18% rebate at Cold Storage/Giant/Guardian. Min spend S$600.,High Yield,S$196.20 (Waivable),None,S$150/mo rebate,Supermarkets
DBS yuu Card,miles,grocery,10.0,mpd,10 mpd at Cold Storage/Giant/Guardian. Min spend S$600.,Miles King,S$196.20 (Waivable),None,S$150/mo rebate,Supermarkets
Maybank XL Rewards,miles,general,4.0,mpd,4 mpd on 2 categories if S$500 min spend met.,New Challenger,S$196.20 (Waivable),None,S$1000/mo,Dining/Travel/Retail
UOB Absolute Cashback,cashback,general,1.7,%,1.7% on everything (including Insurance & Grab).,Catch-all,S$196.20 (Waivable),None,No Cap,Insurance & Bills
